Start Index,End Index
42056000,42488000
42056000,42488000
43168000,43336000
43392000,43600000
43800000,44024000
44064000,44216000
44776000,44944000
44976000,45120000
45232000,45472000
45528000,45728000
46288000,46512000
46552000,46712000
46848000,47216000
46848000,47216000
47720000,47968000
48008000,48328000
48408000,48632000
48680000,48896000
49016000,49424000
49480000,49816000
50104000,50376000
50432000,50624000
50768000,51064000
51096000,51320000
51608000,51808000
51888000,52064000
52216000,52368000
52400000,52600000
52720000,52936000
52992000,53152000
53184000,53432000
53536000,54008000
53536000,54008000
54160000,54392000
54424000,54616000
54688000,54888000
54920000,55112000
55408000,55624000
55680000,55912000
55984000,56232000
56296000,56496000
56552000,56728000
56784000,57032000
57072000,57344000
57376000,57896000
57376000,57896000
57936000,58096000
58160000,58288000
58360000,58520000
58560000,58720000
58784000,58928000
58960000,59088000
59160000,59296000
59336000,59472000
59536000,59696000
59728000,59872000
59976000,60144000
60176000,60320000
60376000,60552000
60592000,60736000
60808000,60952000
61000000,61120000
61192000,61360000
61392000,61568000
61624000,61800000
61832000,62040000
62104000,62216000
62312000,62448000
62520000,62640000
62688000,62816000
63128000,63328000
63368000,63608000
63688000,63872000
63912000,64032000
64320000,64448000
64528000,64680000
64720000,64872000
65096000,65224000
65256000,65408000
65480000,65600000
65744000,65848000
65912000,66104000
66144000,66344000
66400000,66552000
66592000,66744000
67392000,67624000
67680000,67880000
67936000,68056000
68128000,68296000
68352000,68504000
68568000,68920000
68568000,68920000
69280000,69400000
69464000,69584000
69680000,69832000
69864000,70000000
70056000,70184000
70240000,70400000
70512000,70896000
70512000,70896000
70952000,71112000
71144000,71296000
71448000,71576000
71696000,71808000
71904000,72072000
72176000,72312000
72384000,72528000
72608000,72728000
73008000,73136000
73200000,73344000
73872000,74032000
74064000,74208000
74472000,74800000
74472000,74800000
74856000,75000000
75048000,75200000
75352000,75504000
75536000,75704000
75960000,76104000
76160000,76288000
76384000,76536000
76568000,76704000
76776000,76912000
76984000,77112000
77168000,77304000
77360000,77488000
77592000,77744000
77896000,78056000
78136000,78320000
78360000,78528000
78616000,78776000
78848000,79032000
79096000,79288000
79328000,79480000
79568000,79712000
79760000,79896000
79992000,80152000
80216000,80408000
80464000,80624000
80696000,80856000
80936000,81104000
81176000,81344000
81424000,81584000
81656000,81824000
81904000,82112000
82152000,82320000
82392000,82560000
82648000,82808000
82864000,83072000
83120000,83440000
83920000,84096000
84128000,84304000
84456000,84712000
84792000,84976000
87888000,87920000
87920000,88152000
87920000,88152000
88184000,88536000
88184000,88536000
88568000,88696000
88808000,88968000
89024000,89176000
89240000,89408000
89456000,89640000
89680000,89840000
89896000,90024000
90416000,90536000
90608000,90744000
90824000,91168000
90824000,91168000
91240000,91312000
91512000,91704000
91736000,91752000
91840000,92016000
92752000,92888000
92920000,93056000
93120000,93360000
93400000,93736000
93800000,94008000
94040000,94192000
94272000,94416000
94472000,94616000
94760000,94912000
95096000,95240000
95352000,95496000
95584000,95760000
95824000,95968000
96024000,96208000
97144000,97320000
97352000,97536000
97584000,97720000
97752000,97920000
98072000,98400000
98072000,98400000
98448000,98600000
98632000,98784000
98864000,99032000
99112000,99280000
99328000,99512000
99576000,99776000
100064000,100240000
100272000,100568000
100624000,100784000
100816000,101000000
101232000,101368000
101440000,101592000
101672000,102088000
101672000,102088000
102136000,102312000
102344000,102528000
102848000,102976000
103016000,103144000
103240000,103408000
103448000,103672000
103728000,103872000
104256000,104408000
104448000,104664000
105040000,105248000
105280000,105472000
105536000,105712000
105744000,105904000
105976000,106152000
106192000,106360000
106904000,107048000
107104000,107264000
107664000,107784000
107848000,107968000
108024000,108176000
108208000,108384000
108536000,108944000
108536000,108944000
108992000,109168000
109224000,109384000
109448000,109616000
109648000,109864000
110288000,110464000
110504000,110672000
110768000,111048000
110768000,111048000
111152000,111360000
111392000,111544000
112680000,112808000
112856000,112992000
113200000,113344000
113496000,113648000
113680000,113832000
113920000,114088000
114176000,114408000
114464000,114608000
114688000,114832000
114864000,115008000
115288000,115440000
115504000,115704000
115784000,115920000
115960000,116120000
116168000,116304000
116344000,116472000
116536000,116664000
116704000,116840000
116904000,117048000
117096000,117232000
117808000,117944000
117976000,118112000
118360000,118504000
118552000,118680000
118744000,118896000
118928000,119056000
119688000,119840000
119880000,120064000
120128000,120360000
120400000,120648000
120712000,120888000
120920000,121160000
121616000,121776000
121808000,121960000
122056000,122144000
122232000,122408000
122448000,122616000
123320000,123456000
123504000,123632000
123736000,123896000
123928000,124136000
124192000,124376000
124456000,124640000
124672000,124912000
125696000,125856000
125896000,126056000
126112000,126320000
126352000,126544000
126720000,126880000
126920000,127104000
